,target,feature_2,feature_13,feature_11,feature_9,feature_14,feature_7,feature_0,feature_10,feature_6,feature_18,feature_12,feature_5,feature_16,feature_8,feature_17,feature_15,feature_19,feature_3,feature_1,feature_4
feature_18,0.0327544505,-0.0076098687,0.0904294541,-0.0233499672,-0.0077325673,0.0102931549,-0.030340723,-0.0439144115,-0.0218994665,-0.0685556006,1.0,0.071020516,-0.0970446485,-0.0447214245,0.0682992223,0.0478137934,-0.0206745762,-0.0336296574,0.0224954473,0.0197780008,-0.047666864
feature_12,0.0247126777,-0.0181057094,0.0319337915,-0.0081441906,0.0015077955,0.0098276229,0.0157024797,-0.0461462944,0.0079037179,-0.0347820013,0.071020516,1.0,-0.075706862,-0.0272268463,0.015384836,-0.0003036544,0.0019096418,-0.0031997832,0.0810376736,-0.006439641,-0.0621113156
feature_5,0.0181764549,0.0704006377,0.0249483351,-0.1104250917,0.0095576441,-0.0060767097,0.0244513897,0.0120412225,-0.0698316265,-0.0261422677,-0.0970446485,-0.075706862,1.0,-0.0249939669,-0.0481435753,-0.0406424743,-0.0648889473,0.0674921131,0.0409211173,-0.0026177957,0.044539392
feature_16,0.0074035364,-0.0180308979,0.0657798643,-0.0370375208,-0.0114580465,0.010272001,0.0209770347,-0.0628908461,0.0159304244,-0.0186029675,-0.0447214245,-0.0272268463,-0.0249939669,1.0,-0.077710011,-0.0024301724,0.002617594,0.1178753198,0.0372904704,0.0044997302,0.077829176
feature_8,0.0057356494,-0.0260673714,0.074118115,0.0078066734,-0.0249349819,-0.0328587543,-0.0519094082,-0.048100141,-0.0320265571,0.0217501295,0.0682992223,0.015384836,-0.0481435753,-0.077710011,1.0,-0.0410744761,0.0482656566,-0.0795558571,0.0019192007,-0.0816849095,-0.0379509124
feature_17,-0.0032794892,0.035995548,0.0289518297,-0.0180754663,0.0300428963,0.0196420229,-0.0382549162,-0.0323788057,-0.0122334552,0.0427661882,0.0478137934,-0.0003036544,-0.0406424743,-0.0024301724,-0.0410744761,1.0,-0.0420453045,0.0159439908,0.0170338256,-0.0198785668,-0.002699282
feature_15,-0.0088306104,0.0239962274,-0.0753861909,-0.0071825284,-0.025648418,-0.0065290781,0.0037770985,-0.0229838758,0.0561376258,0.0080793608,-0.0206745762,0.0019096418,-0.0648889473,0.002617594,0.0482656566,-0.0420453045,1.0,-0.0322380056,0.0206300084,0.0046718999,0.0391949367
feature_19,-0.0366648421,-0.0109751328,-0.0107450602,-0.0243783371,-0.0174334122,-0.0482345648,0.0286342588,-0.0158299743,0.0010739936,0.0144663045,-0.0336296574,-0.0031997832,0.0674921131,0.1178753198,-0.0795558571,0.0159439908,-0.0322380056,1.0,0.0799099571,0.0053557758,-0.03873941
feature_3,-0.0404396568,-0.0272355213,-0.0241201897,-0.0754083138,-0.0486306952,0.0071740066,-0.036080749,-0.0570635146,0.0438475216,0.0106448235,0.0224954473,0.0810376736,0.0409211173,0.0372904704,0.0019192007,0.0170338256,0.0206300084,0.0799099571,1.0,-0.0286680209,-0.0661369608
feature_1,-0.0588268303,-0.0455143703,-0.0455505259,-0.0323371322,-0.0044519192,-0.0119013849,0.0324313381,-0.0430233261,-0.1022138154,0.0549219429,0.0197780008,-0.006439641,-0.0026177957,0.0044997302,-0.0816849095,-0.0198785668,0.0046718999,0.0053557758,-0.0286680209,1.0,0.0235154662
feature_4,-0.0922052495,-0.0457554294,-0.0122812938,-0.0797886354,-0.0542448862,0.0519009579,0.0532483761,-0.0570515012,-0.0277212929,0.021949081,-0.047666864,-0.0621113156,0.044539392,0.077829176,-0.0379509124,-0.002699282,0.0391949367,-0.03873941,-0.0661369608,0.0235154662,1.0
