,target,feature_2,feature_13,feature_11,feature_9,feature_7,feature_14,feature_18,feature_10,feature_0,feature_6,feature_12,feature_5,feature_16,feature_8,feature_17,feature_15,feature_3,feature_19,feature_1,feature_4
feature_12,0.0230370014,-0.0233990744,0.028185365,-0.0120831048,0.0020884313,0.0075547662,0.0054975893,0.0679058064,0.0097741059,-0.0549861378,-0.0280663767,1.0,-0.0654085543,-0.0274511357,0.0095189907,-0.0010345549,0.0098300438,0.0762540489,0.0084119416,-0.0134765135,-0.0611079318
feature_5,0.020785122,0.0692578538,0.0350677505,-0.1105621154,0.0095509207,0.0371552413,0.0030082488,-0.0924333186,-0.0680331847,0.0141431474,-0.0237655976,-0.0654085543,1.0,-0.0226927492,-0.0518578287,-0.0487888359,-0.0613570616,0.0330591027,0.0746159056,-0.0032691877,0.0506022522
feature_16,0.003713801,-0.0129151713,0.0566301498,-0.0328857688,-0.0128503614,0.0151878299,0.0067999365,-0.0459498063,0.0138846251,-0.0607506928,-0.029423493,-0.0274511357,-0.0226927492,1.0,-0.0943100053,-0.0019430853,0.005861915,0.035046272,0.1163714125,0.0056894644,0.0727708981
feature_8,0.0018980388,-0.034550014,0.0581363289,0.0081877272,-0.0262854462,-0.0499493937,-0.026070234,0.0653956062,-0.0263641319,-0.0400999106,0.0164156407,0.0095189907,-0.0518578287,-0.0943100053,1.0,-0.0365297551,0.0488694702,-0.0007286561,-0.0816700992,-0.0786403276,-0.0341940483
feature_17,-0.004559613,0.025722348,0.0300355736,-0.0228389309,0.0236330123,-0.0385899977,0.017839776,0.048528126,-0.0158466867,-0.0332138481,0.0473196003,-0.0010345549,-0.0487888359,-0.0019430853,-0.0365297551,1.0,-0.0382816917,0.0197646669,0.01583748,-0.0169792618,0.0110860679
feature_15,-0.0091323964,0.0268679163,-0.074544577,0.0004334048,-0.0221585445,0.0177142958,-0.0138571649,-0.0207352569,0.0565182905,-0.0162924535,0.0122340982,0.0098300438,-0.0613570616,0.005861915,0.0488694702,-0.0382816917,1.0,0.0203890118,-0.0369919971,0.0111696389,0.0376192039
feature_3,-0.0336626506,-0.032738148,-0.0192439694,-0.0703311965,-0.043082362,-0.0420095185,0.009508086,0.0235813074,0.0416870291,-0.0587266489,0.011270586,0.0762540489,0.0330591027,0.035046272,-0.0007286561,0.0197646669,0.0203890118,1.0,0.0773934378,-0.0281022595,-0.0765142954
feature_19,-0.0348991997,-0.0108740421,0.0069384154,-0.0186000707,-0.0170897487,0.0251487012,-0.0493974955,-0.0290608418,-0.0136677506,-0.0103815152,0.0219626027,0.0084119416,0.0746159056,0.1163714125,-0.0816700992,0.01583748,-0.0369919971,0.0773934378,1.0,-0.002389784,-0.0394127012
feature_1,-0.0538230812,-0.0389380557,-0.0482467183,-0.0317411653,-0.0014391037,0.0334480791,-0.0089601298,0.0197144027,-0.0999832783,-0.0428449644,0.0522565017,-0.0134765135,-0.0032691877,0.0056894644,-0.0786403276,-0.0169792618,0.0111696389,-0.0281022595,-0.002389784,1.0,0.0214738368
feature_4,-0.0914491896,-0.0469111486,-0.0127156764,-0.0859723489,-0.055768119,0.0511672463,0.0600835116,-0.0426949742,-0.0182020602,-0.0611723198,0.0210606066,-0.0611079318,0.0506022522,0.0727708981,-0.0341940483,0.0110860679,0.0376192039,-0.0765142954,-0.0394127012,0.0214738368,1.0
