,target,feature_2,feature_13,feature_11,feature_9,feature_14,feature_7,feature_0,feature_10,feature_6,feature_18,feature_12,feature_5,feature_16,feature_8,feature_17,feature_15,feature_19,feature_3,feature_1,feature_4
feature_12,0.0247264283,-0.0181359587,0.0316896598,-0.0098537773,0.0014980095,0.0091693595,0.0155986458,-0.0463256093,0.0078890475,-0.0346235401,0.0711561931,1.0,-0.0755725755,-0.0270812019,0.0152250662,-0.0005779751,0.0020625049,-0.0030127296,0.080826482,-0.0065889998,-0.0620996833
feature_5,0.0182186913,0.0703671031,0.0251546352,-0.1090328101,0.0096772449,-0.0058630508,0.0247207005,0.0120571823,-0.0697642421,-0.0259493775,-0.0970408634,-0.0755725755,1.0,-0.0249217717,-0.0482367874,-0.0406548487,-0.0649000426,0.0677064625,0.0407198632,-0.0025785173,0.0446079139
feature_16,0.0070079127,-0.0177525041,0.0653208079,-0.0347023219,-0.0118572402,0.0106078092,0.0208902834,-0.0628026335,0.0157864836,-0.0189723085,-0.0447757424,-0.0270812019,-0.0249217717,1.0,-0.0785182611,-0.0025041477,0.0028858207,0.1179166272,0.0372162923,0.0047681172,0.0776419375
feature_8,0.0057216199,-0.0264786455,0.0737793608,0.0091209204,-0.025117682,-0.0323375961,-0.0518421166,-0.047944435,-0.0318170991,0.0216960134,0.0680563447,0.0152250662,-0.0482367874,-0.0785182611,1.0,-0.0409648453,0.0483809494,-0.0797204199,0.0017108757,-0.0816296032,-0.0379598519
feature_17,-0.0033532962,0.0355051577,0.0289754448,-0.0210866475,0.0297368924,0.0195368044,-0.0382114162,-0.0320040562,-0.0121470737,0.0428342442,0.0486312021,-0.0005779751,-0.0406548487,-0.0025041477,-0.0409648453,1.0,-0.0417203819,0.016097679,0.0171754773,-0.0199901877,-0.0022992567
feature_15,-0.0088044741,0.0242717128,-0.0753562043,-0.0076450076,-0.0253735727,-0.0074796224,0.0041552065,-0.0229601873,0.0561196815,0.0081641754,-0.0203452641,0.0020625049,-0.0649000426,0.0028858207,0.0483809494,-0.0417203819,1.0,-0.0323438562,0.0206224016,0.0047082494,0.0391350255
feature_19,-0.0366851039,-0.0110036291,-0.0100336102,-0.0218684956,-0.0175472429,-0.0483394379,0.0284983454,-0.015744222,0.0005758389,0.0146102858,-0.0336590102,-0.0030127296,0.0677064625,0.1179166272,-0.0797204199,0.016097679,-0.0323438562,1.0,0.080015667,0.0051971451,-0.0387675637
feature_3,-0.0401449908,-0.02761258,-0.0239600158,-0.0728986306,-0.0483780746,0.0077082597,-0.0363311013,-0.0572275543,0.0437353978,0.0105590547,0.0223198149,0.080826482,0.0407198632,0.0372162923,0.0017108757,0.0171754773,0.0206224016,0.080015667,1.0,-0.0286999377,-0.0663858329
feature_1,-0.0587394162,-0.0452314647,-0.0456516015,-0.033387807,-0.0045073927,-0.0118088363,0.0324814156,-0.0430342966,-0.10211759,0.0548849388,0.0197830349,-0.0065889998,-0.0025785173,0.0047681172,-0.0816296032,-0.0199901877,0.0047082494,0.0051971451,-0.0286999377,1.0,0.023411099
feature_4,-0.092189652,-0.046040959,-0.0124130888,-0.0823887073,-0.0542881578,0.0527484717,0.053162421,-0.0570811214,-0.0275983164,0.0220185043,-0.0471479949,-0.0620996833,0.0446079139,0.0776419375,-0.0379598519,-0.0022992567,0.0391350255,-0.0387675637,-0.0663858329,0.023411099,1.0
